"filename", "language", "Markdown", "YAML", "MS SQL", "PostCSS", "TypeScript", "JavaScript", "HTML", "XML", "pip requirements", "Ini", "JSON", "Python", "comment", "blank", "total"
"c:\Users\YASH\TradeWise\.github\workflows\backend-ci.yml", "YAML", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\YASH\TradeWise\.github\workflows\frontend-ci.yml", "YAML", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 66
"c:\Users\YASH\TradeWise\CHANGELOG.md", "Markdown", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 43
"c:\Users\YASH\TradeWise\CONTRIBUTING.md", "Markdown", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 74
"c:\Users\YASH\TradeWise\README.md", "Markdown", 690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 840
"c:\Users\YASH\TradeWise\TESTING_GUIDE.md", "Markdown", 806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 263, 1069
"c:\Users\YASH\TradeWise\backend\README.md", "Markdown", 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 324
"c:\Users\YASH\TradeWise\backend\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 11, 38, 204
"c:\Users\YASH\TradeWise\backend\app\config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 19, 36, 172
"c:\Users\YASH\TradeWise\backend\app\middleware\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 3, 3, 24
"c:\Users\YASH\TradeWise\backend\app\middleware\auth_middleware.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 9, 21, 103
"c:\Users\YASH\TradeWise\backend\app\middleware\rate_limit.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 9, 9, 44
"c:\Users\YASH\TradeWise\backend\app\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 3, 2, 51
"c:\Users\YASH\TradeWise\backend\app\models\comment.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 4, 6, 45
"c:\Users\YASH\TradeWise\backend\app\models\learner_credit_transaction.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 3, 6, 42
"c:\Users\YASH\TradeWise\backend\app\models\learner_flag.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 3, 6, 43
"c:\Users\YASH\TradeWise\backend\app\models\learner_notification.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 3, 6, 52
"c:\Users\YASH\TradeWise\backend\app\models\learner_notification_preferences.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 4, 6, 54
"c:\Users\YASH\TradeWise\backend\app\models\learner_profile.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 4, 7, 60
